cmip,model,x,y
5,ACCESS1.0,-26.16,3.83
5,ACCESS1.3,-20.21,3.53
5,BNU-ESM,-11.91,3.92
5,CCSM4,-9.88,2.94
5,CNRM-CM5,-15.43,3.25
5,CNRM-CM5.2,-15.08,3.44
5,CSIRO-Mk3.6.0,-11.53,4.08
5,CanESM2,-21.21,3.69
5,FGOALS-g2,-12.06,3.38
5,GFDL-CM3,-14.67,3.97
5,GFDL-ESM2G,-17.63,2.39
5,GFDL-ESM2M,-17.75,2.44
5,GISS-E2-H,3.57,2.31
5,GISS-E2-R,2.52,2.11
5,HadGEM2-ES,-24.69,4.61
5,IPSL-CM5A-LR,-34.04,4.13
5,IPSL-CM5A-MR,-32.9,4.12
5,IPSL-CM5B-LR,-27.02,2.6
5,MIROC-ESM,-27.09,4.67
5,MIROC5,-10.99,2.72
5,MPI-ESM-LR,-17.96,3.63
5,MPI-ESM-MR,-18.92,3.46
5,MPI-ESM-P,-17.97,3.45
5,MRI-CGCM3,-11.08,2.6
5,NorESM1-M,-7.13,2.8
5,BCC-CSM1.1,-8.77,2.83
5,BCC-CSM1.1(m),-7.56,2.86
5,INM-CM4,-14.52,2.08
