cmip,model,x,xsd,y
5,GISS-E2-R,19,2,2.1
5,BNU-ESM,48,2,4.1
5,GISS-E2-H,18,2,2.3
5,MIROC5,38,2,2.7
5,GFDL-ESM2G,38,4,2.4
5,GFDL-ESM2M,39,3,2.4
5,CCSM4,49,3,2.9
5,INM-CM4,89,1,2.1
5,NorESM1-M,47,3,2.8
5,BCC-CSM1.1,47,2,2.8
5,MRI-CGCM3,35,4,2.6
5,BCC-CSM1.1(m),49,3,2.9
5,CanESM2,74,3,3.7
5,IPSL-CM5B-LR,83,2,2.6
5,MPI-ESM-LR,70,4,3.6
5,MPI-ESM-MR,72,4,3.4
5,HadGEM2-ES,4,3,4.6
5,GFDL-CM3,44,4,4.0
5,MIROC-ESM,74,2,4.7
5,IPSL-CM5A-MR,70,4,4.1
5,IPSL-CM5A-LR,70,5,4.1
