cmip,model,x,y
6,ACCESS-CM2,0.99,4.72
6,ACCESS-ESM1.5,0.94,3.87
6,AWI-CM1.1-MR,1.05,3.16
6,BCC-CSM2-MR,1.1,3.04
6,BCC-ESM1,1.18,3.26
6,CAMS-CSM1.0,1.09,2.29
6,CAS-ESM2.0,0.95,3.51
6,CESM2,0.93,5.16
6,CESM2-FV2,0.93,5.14
6,CESM2-WACCM,0.93,4.75
6,CESM2-WACCM-FV2,,4.79
6,CMCC-CM2-SR5,1.03,3.52
6,CNRM-CM6.1,1.03,4.83
6,CNRM-CM6.1-HR,1.04,4.28
6,CNRM-ESM2.1,1.04,4.76
6,CanESM5,0.97,5.62
6,E3SM1.0,0.96,5.32
6,EC-Earth3-Veg,,4.31
6,FGOALS-f3-L,1.06,3.0
6,FGOALS-g3,1.18,2.88
6,GISS-E2.1-G,0.98,2.72
6,GISS-E2.1-H,1.0,3.11
6,HadGEM3-GC3.1-LL,1.02,5.55
6,HadGEM3-GC3.1-MM,1.01,5.42
6,INM-CM4.8,0.99,1.83
6,INM-CM5.0,0.99,1.92
6,IPSL-CM6A-LR,0.76,4.56
6,KACE1.0-G,1.03,4.48
6,MCM-UA1.0,0.91,3.65
6,MIROC-ES2L,0.91,2.68
6,MIROC6,0.99,2.61
6,MPI-ESM1.2-HAM,0.96,2.96
6,MPI-ESM1.2-HR,1.04,2.98
6,MPI-ESM1.2-LR,1.02,3.0
6,MRI-ESM2.0,0.95,3.15
6,NESM3,1.05,4.72
6,NorCPM1,,3.05
6,NorESM2-LM,1.01,2.54
6,NorESM2-MM,1.0,2.5
6,SAM0-UNICON,1.01,3.72
6,TaiESM1,1.02,4.31
6,UKESM1.0-LL,1.03,5.34
