cmip,model,ecs,brient2016c,cox2018,lipat2017,sherwood2014_D,sherwood2014,sherwood2014_S,su2014,tian2015,tian2015_ITCZ,volodin2008,zhai2015
6,ACCESS-CM2,4.72,-0.6,0.2,-35.14,0.42,0.88,0.46,0.99,21.63,1.62,-24.48,
6,ACCESS-ESM1.5,3.87,-0.81,0.13,-35,0.44,0.79,0.35,0.94,15.62,1,-20.15,
6,AWI-CM1.1-MR,3.16,-0.7,,-35.43,0.42,0.76,0.34,1.05,2.15,-0.12,-19.44,
6,BCC-CSM2-MR,3.04,-1.43,0.16,-36.12,0.54,0.89,0.36,1.1,32.92,1.5,-3.93,-0.1
6,BCC-ESM1,3.26,,0.19,-36.18,0.46,0.88,0.42,1.18,38.93,0.94,2.69,-0.22
6,CAMS-CSM1.0,2.29,-0.44,0.14,-35.38,0.47,0.91,0.44,1.09,27.52,1.4,-13.84,-0.36
6,CAS-ESM2.0,3.51,-0.84,0.16,-30.53,0.31,0.8,0.48,0.95,6.98,1.58,-14.42,-0.06
6,CESM2,5.16,-1.94,0.15,-36.22,0.49,0.85,0.36,0.93,-7.25,0.45,-24.99,-2.39
6,CESM2-FV2,5.14,-1.3,0.13,-36.88,0.45,0.79,0.34,0.93,12.09,0.3,-25.68,-2.44
6,CESM2-WACCM,4.75,-1.6,0.18,-36.43,0.55,0.91,0.36,0.93,-5.37,-0.13,-23.81,-2.14
6,CESM2-WACCM-FV2,4.79,,0.16,-36.57,,,,,26.98,0.96,-25.34,
6,CMCC-CM2-SR5,3.52,-0.19,0.18,-37.48,0.5,0.9,0.4,1.03,23.28,1.12,-22.46,-1
6,CNRM-CM6.1,4.83,-0.61,0.11,-34.5,0.3,0.74,0.44,1.03,16.59,0.92,-9.16,
6,CNRM-CM6.1-HR,4.28,-0.25,0.11,-33.41,0.34,0.81,0.46,1.04,13.31,1.04,-6.63,
6,CNRM-ESM2.1,4.76,-0.51,0.08,-34.83,0.3,0.74,0.44,1.04,16.17,0.95,-8.6,
6,CanESM5,5.62,-0.97,0.18,-35.5,0.48,0.82,0.34,0.97,15.39,0.04,-20.02,
6,E3SM1.0,5.32,-0.74,0.22,-35.59,0.46,0.8,0.34,0.96,16.73,1.26,-25.38,-3.11
6,EC-Earth3-Veg,4.31,,0.19,,,,,,,0.82,,
6,FGOALS-f3-L,3,-0.63,0.09,-33.4,0.31,0.76,0.44,1.06,11.75,1,-0.19,
6,FGOALS-g3,2.88,-0.12,0.13,-34.57,0.36,0.8,0.44,1.18,19.06,0.32,-15.13,1.06
6,GISS-E2.1-G,2.72,-0.58,0.17,-36.24,0.26,0.61,0.35,0.98,28.46,2.39,-7.75,-0.07
6,GISS-E2.1-H,3.11,-0.48,0.13,-36.95,0.24,0.59,0.36,1,24.55,1.84,-6.82,0
6,HadGEM3-GC3.1-LL,5.55,-0.56,0.2,-35.75,0.46,0.92,0.46,1.02,9.56,0.99,-24.87,-2.66
6,HadGEM3-GC3.1-MM,5.42,-1.06,0.18,-35.09,,,,1.01,4.73,1.19,-22.48,
6,INM-CM4.8,1.83,0.03,0.13,-38.15,0.47,0.71,0.25,0.99,12.22,0.62,-16.71,
6,INM-CM5.0,1.92,-0.46,0.14,-37.34,0.4,0.63,0.23,0.99,11.22,0.62,-14.38,
6,IPSL-CM6A-LR,4.56,-0.38,0.14,-33.74,0.5,0.92,0.41,0.76,11.9,0.41,-34.9,
6,KACE1.0-G,4.48,-0.6,0.15,-34.95,0.41,0.87,0.47,1.03,22.16,1.66,-24.51,
6,MCM-UA1.0,3.65,,0.2,,,,,0.91,14.5,-0.56,,
6,MIROC-ES2L,2.68,-0.49,0.15,-34.13,0.36,0.79,0.43,0.91,18.53,0.68,-13.03,-0.14
6,MIROC6,2.61,-0.45,0.17,-34.9,0.46,0.91,0.45,0.99,5.79,0.29,-13.43,-1.08
6,MPI-ESM1.2-HAM,2.96,-0.6,0.14,-35.21,0.42,0.77,0.35,0.96,14.47,0.7,-23.06,-0.73
6,MPI-ESM1.2-HR,2.98,-0.34,0.15,-34.6,0.45,0.78,0.33,1.04,4.33,0.53,-20.21,-0.16
6,MPI-ESM1.2-LR,3,-0.64,0.18,-34.76,0.39,0.68,0.29,1.02,5.92,0.4,-19.4,-0.42
6,MRI-ESM2.0,3.15,-0.73,0.15,-33.39,0.39,0.79,0.4,0.95,3.33,0.75,-22.83,-1.35
6,NESM3,4.72,-0.73,0.24,-36.77,0.52,0.89,0.37,1.05,28.78,0.55,-18.81,-0.62
6,NorCPM1,3.05,,0.12,-37.45,0.45,,,,30.5,0.54,-8.09,
6,NorESM2-LM,2.54,-1.61,0.2,-36.17,0.46,0.79,0.33,1.01,34.4,1.3,-16.22,-1.25
6,NorESM2-MM,2.5,0.12,0.31,-36.55,0.52,0.86,0.34,1,11.07,0.27,-25.33,-1.03
6,SAM0-UNICON,3.72,-1.4,0.19,-36.41,0.54,0.9,0.36,1.01,11.99,1.13,-25.25,-1.85
6,TaiESM1,4.31,-0.22,0.15,-36.8,0.48,0.89,0.42,1.02,11.2,1.17,-16.53,-1.89
6,UKESM1.0-LL,5.34,-0.59,0.21,-35.67,0.48,0.93,0.45,1.03,2.22,0.86,-26.83,-2.72
