cmip,model,x,y
6,ACCESS-CM2,21.63,4.72
6,ACCESS-ESM1.5,15.62,3.87
6,AWI-CM1.1-MR,2.15,3.16
6,BCC-CSM2-MR,32.92,3.04
6,BCC-ESM1,38.93,3.26
6,CAMS-CSM1.0,27.52,2.29
6,CAS-ESM2.0,6.98,3.51
6,CESM2,-7.25,5.16
6,CESM2-FV2,12.09,5.14
6,CESM2-WACCM,-5.37,4.75
6,CESM2-WACCM-FV2,26.98,4.79
6,CMCC-CM2-SR5,23.28,3.52
6,CNRM-CM6.1,16.59,4.83
6,CNRM-CM6.1-HR,13.31,4.28
6,CNRM-ESM2.1,16.17,4.76
6,CanESM5,15.39,5.62
6,E3SM1.0,16.73,5.32
6,EC-Earth3-Veg,,4.31
6,FGOALS-f3-L,11.75,3.0
6,FGOALS-g3,19.06,2.88
6,GISS-E2.1-G,28.46,2.72
6,GISS-E2.1-H,24.55,3.11
6,HadGEM3-GC3.1-LL,9.56,5.55
6,HadGEM3-GC3.1-MM,4.73,5.42
6,INM-CM4.8,12.22,1.83
6,INM-CM5.0,11.22,1.92
6,IPSL-CM6A-LR,11.9,4.56
6,KACE1.0-G,22.16,4.48
6,MCM-UA1.0,14.5,3.65
6,MIROC-ES2L,18.53,2.68
6,MIROC6,5.79,2.61
6,MPI-ESM1.2-HAM,14.47,2.96
6,MPI-ESM1.2-HR,4.33,2.98
6,MPI-ESM1.2-LR,5.92,3.0
6,MRI-ESM2.0,3.33,3.15
6,NESM3,28.78,4.72
6,NorCPM1,30.5,3.05
6,NorESM2-LM,34.4,2.54
6,NorESM2-MM,11.07,2.5
6,SAM0-UNICON,11.99,3.72
6,TaiESM1,11.2,4.31
6,UKESM1.0-LL,2.22,5.34
